,Date,Open*,High,Low,Close**,Volume,Market Cap
164,"Jul 07, 2019",11217.62,11541.62,11148.8,11450.85,"19,369,044,277","203,881,891,346"
165,"Jul 06, 2019",10982.54,11620.97,10982.54,11208.55,"21,092,024,306","199,546,110,914"
166,"Jul 05, 2019",11203.1,11395.66,10874.96,10978.46,"23,838,480,210","195,424,678,267"
167,"Jul 04, 2019",11972.72,12006.08,11166.57,11215.44,"25,920,294,033","199,617,404,432"
168,"Jul 03, 2019",10818.16,11968.08,10818.16,11961.27,"30,796,494,294","212,867,079,175"
169,"Jul 02, 2019",10588.68,10912.19,9737.88,10801.68,"31,015,895,223","192,206,536,806"
170,"Jul 01, 2019",10796.93,11206.44,10089.31,10583.13,"29,378,589,324","188,297,637,574"
171,"Jun 30, 2019",11931.99,12178.38,10799.01,10817.16,"27,256,473,494","192,442,065,810"
172,"Jun 29, 2019",12400.76,12400.91,11508.38,11959.37,"29,923,961,128","212,739,713,110"
173,"Jun 28, 2019",11162.17,12445.18,10914.49,12407.33,"35,087,757,766","220,681,459,666"
174,"Jun 27, 2019",13017.12,13311.14,10491.85,11182.81,"39,977,475,223","198,878,940,964"
175,"Jun 26, 2019",11778.58,13796.49,11755.6,13016.23,"45,105,733,173","231,462,117,209"
176,"Jun 25, 2019",11007.2,11790.92,11007.2,11790.92,"24,879,684,533","209,647,943,360"
177,"Jun 24, 2019",10853.74,11065.9,10610.43,11011.1,"19,271,652,365","195,762,668,679"
178,"Jun 23, 2019",10696.69,11246.14,10556.1,10855.37,"20,998,326,502","192,970,090,355"
179,"Jun 22, 2019",10175.92,11157.35,10107.04,10701.69,"29,995,204,861","190,214,124,824"
180,"Jun 21, 2019",9525.07,10144.56,9525.07,10144.56,"20,624,008,643","180,293,241,528"
181,"Jun 20, 2019",9273.06,9594.42,9232.48,9527.16,"17,846,823,784","169,304,784,791"
182,"Jun 19, 2019",9078.73,9299.62,9070.4,9273.52,"15,546,809,946","164,780,855,869"
183,"Jun 18, 2019",9335.47,9348.37,9004.9,9081.76,"15,848,210,536","161,353,637,186"
184,"Jun 17, 2019",8988.92,9416.41,8988.92,9320.35,"15,562,951,919","165,573,372,261"
185,"Jun 16, 2019",8841.44,9335.87,8814.56,8994.49,"23,348,550,311","159,769,423,370"
186,"Jun 15, 2019",8689.75,8859.13,8618.4,8838.38,"18,371,033,226","156,982,138,835"
187,"Jun 14, 2019",8230.9,8710.64,8183.39,8693.83,"19,831,162,906","154,398,880,249"
